set	file	w	h	depth	ctype	png	pxl	ratio	enc_ms	dec_ms	filter	status
kodak	01.png	768	512	8	2	736501	603480	81.94	2972	363	BCIF	OK
kodak	02.png	768	512	8	2	617995	556928	90.12	3780	625	BCIF	OK
kodak	03.png	768	512	8	2	502888	468588	93.18	3543	387	BCIF	OK
kodak	04.png	512	768	8	2	637432	569769	89.39	2255	352	BCIF	OK
kodak	05.png	768	512	8	2	785610	662244	84.30	2220	282	BCIF	OK
kodak	06.png	768	512	8	2	618959	541241	87.44	2294	298	BCIF	OK
kodak	07.png	768	512	8	2	566322	515407	91.01	2805	378	BCIF	OK
kodak	08.png	768	512	8	2	788470	687347	87.17	2749	302	BCIF	OK
kodak	09.png	512	768	8	2	582899	520265	89.25	2605	375	BCIF	OK
kodak	10.png	512	768	8	2	593463	540772	91.12	2478	353	BCIF	OK
kodak	11.png	768	512	8	2	621023	541266	87.16	2142	299	BCIF	OK
kodak	12.png	768	512	8	2	531024	489459	92.17	2667	380	BCIF	OK
kodak	13.png	768	512	8	2	822712	676381	82.21	1606	242	BCIF	OK
kodak	14.png	768	512	8	2	692201	589297	85.13	2051	291	BCIF	OK
kodak	15.png	768	512	8	2	612582	563551	92.00	2601	340	BCIF	OK
kodak	16.png	768	512	8	2	534247	478110	89.49	2476	342	BCIF	OK
kodak	17.png	512	768	8	2	602078	533158	88.55	2370	346	BCIF	OK
kodak	18.png	512	768	8	2	780947	668923	85.66	1769	278	BCIF	OK
kodak	19.png	512	768	8	2	671476	581179	86.55	2257	361	BCIF	OK
kodak	20.png	768	512	8	2	492462	483081	98.10	2017	272	delta	OK
kodak	21.png	768	512	8	2	637051	558807	87.72	2229	354	BCIF	OK
kodak	22.png	768	512	8	2	701970	640657	91.27	1904	374	BCIF	OK
kodak	23.png	768	512	8	2	557596	549773	98.60	2522	519	BCIF	OK
kodak	24.png	768	512	8	2	706397	613836	86.90	2010	313	BCIF	OK
pngsuite	PngSuite.png	256	256	8	2	2262	656	29.00	217	19	adaptive	OK
pngsuite	basi0g01.png	32	32	1	0	217	148	68.20	5	4	delta	OK
pngsuite	basi0g02.png	32	32	2	0	154	88	57.14	4	6	delta	OK
pngsuite	basi0g04.png	32	32	4	0	247	80	32.39	6	4	adaptive	OK
pngsuite	basi0g08.png	32	32	8	0	254	111	43.70	4	4	adaptive	OK
pngsuite	basi0g16.png	32	32	16	0	299	133	44.48	6	4	adaptive	OK
pngsuite	basi2c08.png	32	32	8	2	315	117	37.14	5	4	adaptive	OK
pngsuite	basi2c16.png	32	32	16	2	595	211	35.46	12	4	adaptive	OK
pngsuite	basi3p01.png	32	32	1	3	132	71	53.79	6	4	delta	OK
pngsuite	basi3p02.png	32	32	2	3	193	105	54.40	4	3	delta	OK
pngsuite	basi3p04.png	32	32	4	3	327	153	46.79	4	3	delta	OK
pngsuite	basi3p08.png	32	32	8	3	1527	1109	72.63	5	5	delta	OK
pngsuite	basi4a08.png	32	32	8	4	214	104	48.60	5	4	adaptive	OK
pngsuite	basi4a16.png	32	32	16	4	2855	1240	43.43	12	4	delta	OK
pngsuite	basi6a08.png	32	32	8	6	361	164	45.43	8	4	adaptive	OK
pngsuite	basi6a16.png	32	32	16	6	4180	2462	58.90	16	8	delta	OK
pngsuite	basn0g01.png	32	32	1	0	164	148	90.24	5	5	delta	OK
pngsuite	basn0g02.png	32	32	2	0	104	88	84.62	4	3	delta	OK
pngsuite	basn0g04.png	32	32	4	0	145	80	55.17	4	6	adaptive	OK
pngsuite	basn0g08.png	32	32	8	0	138	111	80.43	4	4	adaptive	OK
pngsuite	basn0g16.png	32	32	16	0	167	133	79.64	5	4	adaptive	OK
pngsuite	basn2c08.png	32	32	8	2	145	117	80.69	6	3	adaptive	OK
pngsuite	basn2c16.png	32	32	16	2	302	211	69.87	11	4	adaptive	OK
pngsuite	basn3p01.png	32	32	1	3	112	71	63.39	6	4	delta	OK
