clock_mhz	size	decoder	us_median	mb_per_s	bytes
222	screen	adaptive	106102.0	4.694	522240
222	screen	bcif	36732.5	13.559	522240
222	screen	delta	38578.0	12.91	522240
222	screen	none	37629.5	13.236	522240
222	screen	png	107869.0	4.617	522240
222	texture	adaptive	209387.5	4.776	1048576
222	texture	bcif	397322.5	2.517	1048576
222	texture	delta	71105.0	14.064	1048576
222	texture	none	60995.5	16.395	1048576
222	texture	png	213155.0	4.691	1048576
333	screen	adaptive	70470.0	7.068	522240
333	screen	bcif	24303.5	20.493	522240
333	screen	delta	25597.0	19.457	522240
333	screen	none	24872.5	20.024	522240
333	screen	png	71478.0	6.968	522240
333	texture	adaptive	139476.5	7.17	1048576
333	texture	bcif	260245.5	3.843	1048576
333	texture	delta	47173.0	21.199	1048576
333	texture	none	40194.5	24.879	1048576
333	texture	png	141210.5	7.082	1048576
